Type,Beer,Brewery,City,State
Amber,Arkansas Red,Core ,Springdale,AR
Amber,Boont Amber,Anderson Valley,Boonville,CA
Amber,Fat Tire,New Belgium,Ft. Collins,CO
Amber,Zoe,Maine,Freeport,ME
Amber,Almost Heaven,Mountain State Brewing,Thomas,WV
American Pale,Sierra Nevada,Sierra Nevada,Chico,CA
American Pale,Daisy Cutter,Half Acre,Chicago,IL
American Pale,Zombie Dust,Three Floyds,Munster,IN
American Pale,Mirror Pond,Deschutes,Bend,OR
American Pale,Edward,Hill Farmstead,Greensboro,VT
Black IPA,Back in Black,21st Amendment,San Francisco,CA
Black IPA,Alter Ego,4 Hands,St. Louis,MO
Black IPA,Black Hops Tactical IPA,Uberbrew,Billings,MT
Black IPA,Mothman Black IPA,Greenbrier Valley,Maxwelton,WV
Black IPA,Secession,Hopworks Urban Brewery,Portland,OR
Breakfast,Java the Hop,Fort George,Astoria,OR
Breakfast,Bourbon County Brand Coffee Stout,Goose Island,Chicago,IL
Breakfast,The Maple Collaboration,Peak Organic,Portland,ME
Breakfast,VooDoo Maple Bacon,Rogue,Newport,OR
Breakfast,Autocrat Coffee Milk Stout,Narragansett,Providence,RI
Chocolate,Wonka Bar,Mispillion River Brewing,Milford,DE
Chocolate,Chocolate Ale,Boulevard,Kansas City,MO
Chocolate,Sexual Chocolate,Foothills,Winston-Salem,NC
Chocolate,Chocolate Hefe,Secret Engine,Brooklyn,NY
Chocolate,Chocolate Oak Aged Yeti,Great Divide,Denver,CO
dIPA,On the Wings of Armegeddon,DC Brau,Washington,DC
dIPA,Jet Star,NoLi,Spokane,WA
dIPA,Freak of Nature,Wicked Weed,Asheville,NC
dIPA,90 Minute IPA,Dogfish Head,Milton,DE
dIPA,Tricerahops,Ninkasi,Eugene,OR
Fall/Pumpkin,Sweet Potato Casserole,Funky Buddha,Oakland Park,FL
Fall/Pumpkin,Pumpkinhead,Shipyard,Portland,ME
Fall/Pumpkin,Southern Pecan,Lazy Magnolia,Kiln,MS
Fall/Pumpkin,Master of Pumpkins,Troegs,Hershey,PA
Fall/Pumpkin,Night Owl,Elysian,Seattle,WA
Farmhouse/Saison,Flower Envy Saison,Slumbrew,Somerville,MA
Farmhouse/Saison,Tank 7,Boulevard,Kansas City,MO
